"Notes"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Nevada"	"32"	"2020 "	"2020"	15	3138259	Unreliable
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"New Jersey"	"34"	"2020 "	"2020"	32	8882371	0.4
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"New Mexico"	"35"	"2020 "	"2020"	13	2106319	Unreliable
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"New York"	"36"	"2020 "	"2020"	122	19336776	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"North Carolina"	"37"	"2020 "	"2020"	65	10600823	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"North Dakota"	"38"	"2020 "	"2020"	10	765309	Unreliable
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Ohio"	"39"	"2020 "	"2020"	73	11693217	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Oklahoma"	"40"	"2020 "	"2020"	18	3980783	Unreliable
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Oregon"	"41"	"2020 "	"2020"	18	4241507	Unreliable
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Pennsylvania"	"42"	"2020 "	"2020"	92	12783254	0.7
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"South Carolina"	"45"	"2020 "	"2020"	35	5218040	0.7
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Tennessee"	"47"	"2020 "	"2020"	44	6886834	0.6
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Texas"	"48"	"2020 "	"2020"	98	29360759	0.3
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Virginia"	"51"	"2020 "	"2020"	30	8590563	0.3
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Washington"	"53"	"2020 "	"2020"	39	7693612	0.5
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"West Virginia"	"54"	"2020 "	"2020"	24	1784787	1.3
	"Influenza with other respiratory manifestations, influenza virus identified"	"J10.1"	"Wisconsin"	"55"	"2020 "	"2020"	45	5832655	0.8
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Alabama"	"01"	"2020 "	"2020"	23	4921532	0.5
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Arizona"	"04"	"2020 "	"2020"	29	7421401	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Arkansas"	"05"	"2020 "	"2020"	18	3030522	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"California"	"06"	"2020 "	"2020"	93	39368078	0.2
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Colorado"	"08"	"2020 "	"2020"	22	5807719	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Connecticut"	"09"	"2020 "	"2020"	12	3557006	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Florida"	"12"	"2020 "	"2020"	68	21733312	0.3
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Georgia"	"13"	"2020 "	"2020"	62	10710017	0.6
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Illinois"	"17"	"2020 "	"2020"	50	12587530	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Indiana"	"18"	"2020 "	"2020"	27	6754953	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Kansas"	"20"	"2020 "	"2020"	19	2913805	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Kentucky"	"21"	"2020 "	"2020"	20	4477251	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Louisiana"	"22"	"2020 "	"2020"	19	4645318	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Maryland"	"24"	"2020 "	"2020"	29	6055802	0.5
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Massachusetts"	"25"	"2020 "	"2020"	47	6893574	0.7
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Michigan"	"26"	"2020 "	"2020"	51	9966555	0.5
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Minnesota"	"27"	"2020 "	"2020"	13	5657342	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Mississippi"	"28"	"2020 "	"2020"	12	2966786	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Missouri"	"29"	"2020 "	"2020"	27	6151548	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"New Hampshire"	"33"	"2020 "	"2020"	10	1366275	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"New Jersey"	"34"	"2020 "	"2020"	25	8882371	0.3
	"Influenza with pneumonia, virus not identified"	"J11.0"	"New York"	"36"	"2020 "	"2020"	87	19336776	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"North Carolina"	"37"	"2020 "	"2020"	46	10600823	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Ohio"	"39"	"2020 "	"2020"	37	11693217	0.3
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Oklahoma"	"40"	"2020 "	"2020"	20	3980783	0.5
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Oregon"	"41"	"2020 "	"2020"	11	4241507	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Pennsylvania"	"42"	"2020 "	"2020"	39	12783254	0.3
	"Influenza with pneumonia, virus not identified"	"J11.0"	"South Carolina"	"45"	"2020 "	"2020"	33	5218040	0.6
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Tennessee"	"47"	"2020 "	"2020"	48	6886834	0.7
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Texas"	"48"	"2020 "	"2020"	85	29360759	0.3
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Utah"	"49"	"2020 "	"2020"	11	3249879	Unreliable
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Virginia"	"51"	"2020 "	"2020"	29	8590563	0.3
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Washington"	"53"	"2020 "	"2020"	27	7693612	0.4
	"Influenza with pneumonia, virus not identified"	"J11.0"	"Wisconsin"	"55"	"2020 "	"2020"	22	5832655	0.4
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Alabama"	"01"	"2020 "	"2020"	24	4921532	0.5
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Arkansas"	"05"	"2020 "	"2020"	17	3030522	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"California"	"06"	"2020 "	"2020"	44	39368078	0.1
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Colorado"	"08"	"2020 "	"2020"	12	5807719	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Connecticut"	"09"	"2020 "	"2020"	19	3557006	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Florida"	"12"	"2020 "	"2020"	54	21733312	0.2
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Georgia"	"13"	"2020 "	"2020"	37	10710017	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Illinois"	"17"	"2020 "	"2020"	42	12587530	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Indiana"	"18"	"2020 "	"2020"	30	6754953	0.4
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Iowa"	"19"	"2020 "	"2020"	10	3163561	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Kansas"	"20"	"2020 "	"2020"	31	2913805	1.1
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Kentucky"	"21"	"2020 "	"2020"	18	4477251	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Louisiana"	"22"	"2020 "	"2020"	13	4645318	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Maryland"	"24"	"2020 "	"2020"	21	6055802	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Massachusetts"	"25"	"2020 "	"2020"	46	6893574	0.7
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Michigan"	"26"	"2020 "	"2020"	27	9966555	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Minnesota"	"27"	"2020 "	"2020"	17	5657342	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Mississippi"	"28"	"2020 "	"2020"	13	2966786	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Missouri"	"29"	"2020 "	"2020"	38	6151548	0.6
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"New Jersey"	"34"	"2020 "	"2020"	36	8882371	0.4
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"New York"	"36"	"2020 "	"2020"	71	19336776	0.4
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"North Carolina"	"37"	"2020 "	"2020"	38	10600823	0.4
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Ohio"	"39"	"2020 "	"2020"	43	11693217	0.4
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Oklahoma"	"40"	"2020 "	"2020"	13	3980783	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Oregon"	"41"	"2020 "	"2020"	15	4241507	Unreliable
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Pennsylvania"	"42"	"2020 "	"2020"	40	12783254	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"South Carolina"	"45"	"2020 "	"2020"	26	5218040	0.5
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Tennessee"	"47"	"2020 "	"2020"	32	6886834	0.5
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Texas"	"48"	"2020 "	"2020"	76	29360759	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Virginia"	"51"	"2020 "	"2020"	29	8590563	0.3
	"Influenza with other respiratory manifestations, virus not identified"	"J11.1"	"Wisconsin"	"55"	"2020 "	"2020"	17	5832655	Unreliable
	"Respiratory syncytial virus pneumonia"	"J12.1"	"California"	"06"	"2020 "	"2020"	14	39368078	Unreliable
	"Respiratory syncytial virus pneumonia"	"J12.1"	"New York"	"36"	"2020 "	"2020"	13	19336776	Unreliable
	"Respiratory syncytial virus pneumonia"	"J12.1"	"Pennsylvania"	"42"	"2020 "	"2020"	15	12783254	Unreliable
	"Human metapneumovirus pneumonia"	"J12.3"	"Pennsylvania"	"42"	"2020 "	"2020"	10	12783254	Unreliable
	"Other viral pneumonia"	"J12.8"	"Arizona"	"04"	"2020 "	"2020"	51	7421401	0.7
	"Other viral pneumonia"	"J12.8"	"Florida"	"12"	"2020 "	"2020"	37	21733312	0.2
	"Other viral pneumonia"	"J12.8"	"Georgia"	"13"	"2020 "	"2020"	13	10710017	Unreliable
	"Other viral pneumonia"	"J12.8"	"Indiana"	"18"	"2020 "	"2020"	16	6754953	Unreliable
	"Other viral pneumonia"	"J12.8"	"Massachusetts"	"25"	"2020 "	"2020"	41	6893574	0.6
	"Other viral pneumonia"	"J12.8"	"Michigan"	"26"	"2020 "	"2020"	53	9966555	0.5
	"Other viral pneumonia"	"J12.8"	"Missouri"	"29"	"2020 "	"2020"	41	6151548	0.7
	"Other viral pneumonia"	"J12.8"	"New Jersey"	"34"	"2020 "	"2020"	48	8882371	0.5
	"Other viral pneumonia"	"J12.8"	"New York"	"36"	"2020 "	"2020"	132	19336776	0.7
	"Other viral pneumonia"	"J12.8"	"North Carolina"	"37"	"2020 "	"2020"	20	10600823	0.2
	"Other viral pneumonia"	"J12.8"	"Pennsylvania"	"42"	"2020 "	"2020"	20	12783254	0.2
	"Other viral pneumonia"	"J12.8"	"Tennessee"	"47"	"2020 "	"2020"	15	6886834	Unreliable
	"Other viral pneumonia"	"J12.8"	"Texas"	"48"	"2020 "	"2020"	28	29360759	0.1
	"Viral pneumonia, unspecified"	"J12.9"	"Arizona"	"04"	"2020 "	"2020"	28	7421401	0.4
	"Viral pneumonia, unspecified"	"J12.9"	"California"	"06"	"2020 "	"2020"	85	39368078	0.2
	"Viral pneumonia, unspecified"	"J12.9"	"Colorado"	"08"	"2020 "	"2020"	12	5807719	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Florida"	"12"	"2020 "	"2020"	35	21733312	0.2
	"Viral pneumonia, unspecified"	"J12.9"	"Georgia"	"13"	"2020 "	"2020"	18	10710017	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Illinois"	"17"	"2020 "	"2020"	33	12587530	0.3
	"Viral pneumonia, unspecified"	"J12.9"	"Indiana"	"18"	"2020 "	"2020"	22	6754953	0.3
	"Viral pneumonia, unspecified"	"J12.9"	"Louisiana"	"22"	"2020 "	"2020"	16	4645318	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Maryland"	"24"	"2020 "	"2020"	11	6055802	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Massachusetts"	"25"	"2020 "	"2020"	19	6893574	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Michigan"	"26"	"2020 "	"2020"	34	9966555	0.3
	"Viral pneumonia, unspecified"	"J12.9"	"Missouri"	"29"	"2020 "	"2020"	24	6151548	0.4
	"Viral pneumonia, unspecified"	"J12.9"	"New Jersey"	"34"	"2020 "	"2020"	79	8882371	0.9
	"Viral pneumonia, unspecified"	"J12.9"	"New York"	"36"	"2020 "	"2020"	214	19336776	1.1
	"Viral pneumonia, unspecified"	"J12.9"	"North Carolina"	"37"	"2020 "	"2020"	16	10600823	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Ohio"	"39"	"2020 "	"2020"	27	11693217	0.2
	"Viral pneumonia, unspecified"	"J12.9"	"Pennsylvania"	"42"	"2020 "	"2020"	33	12783254	0.3
	"Viral pneumonia, unspecified"	"J12.9"	"Tennessee"	"47"	"2020 "	"2020"	17	6886834	Unreliable
	"Viral pneumonia, unspecified"	"J12.9"	"Texas"	"48"	"2020 "	"2020"	56	29360759	0.2
	"Viral pneumonia, unspecified"	"J12.9"	"Virginia"	"51"	"2020 "	"2020"	20	8590563	0.2
	"Viral pneumonia, unspecified"	"J12.9"	"Washington"	"53"	"2020 "	"2020"	22	7693612	0.3
	"Viral pneumonia, unspecified"	"J12.9"	"Wisconsin"	"55"	"2020 "	"2020"	10	5832655	Unreliable
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"Alabama"	"01"	"2020 "	"2020"	47	4921532	1.0
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"California"	"06"	"2020 "	"2020"	14	39368078	Unreliable
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"Colorado"	"08"	"2020 "	"2020"	11	5807719	Unreliable
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"Illinois"	"17"	"2020 "	"2020"	10	12587530	Unreliable
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"New York"	"36"	"2020 "	"2020"	11	19336776	Unreliable
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"Tennessee"	"47"	"2020 "	"2020"	10	6886834	Unreliable
	"Pneumonia due to Streptococcus pneumoniae"	"J13"	"Texas"	"48"	"2020 "	"2020"	13	29360759	Unreliable
	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	"Arizona"	"04"	"2020 "	"2020"	11	7421401	Unreliable
	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	"California"	"06"	"2020 "	"2020"	30	39368078	0.1
	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	"Florida"	"12"	"2020 "	"2020"	22	21733312	0.1
	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	"New York"	"36"	"2020 "	"2020"	19	19336776	Unreliable
	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	"Ohio"	"39"	"2020 "	"2020"	12	11693217	Unreliable
	"Pneumonia due to Klebsiella pneumoniae"	"J15.0"	"Texas"	"48"	"2020 "	"2020"	21	29360759	0.1
	"Pneumonia due to Pseudomonas"	"J15.1"	"Arizona"	"04"	"2020 "	"2020"	12	7421401	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"California"	"06"	"2020 "	"2020"	43	39368078	0.1
	"Pneumonia due to Pseudomonas"	"J15.1"	"Florida"	"12"	"2020 "	"2020"	31	21733312	0.1
	"Pneumonia due to Pseudomonas"	"J15.1"	"Illinois"	"17"	"2020 "	"2020"	12	12587530	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"Michigan"	"26"	"2020 "	"2020"	16	9966555	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"New York"	"36"	"2020 "	"2020"	37	19336776	0.2
	"Pneumonia due to Pseudomonas"	"J15.1"	"North Carolina"	"37"	"2020 "	"2020"	17	10600823	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"Ohio"	"39"	"2020 "	"2020"	16	11693217	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"Pennsylvania"	"42"	"2020 "	"2020"	19	12783254	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"South Carolina"	"45"	"2020 "	"2020"	11	5218040	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"Tennessee"	"47"	"2020 "	"2020"	14	6886834	Unreliable
	"Pneumonia due to Pseudomonas"	"J15.1"	"Texas"	"48"	"2020 "	"2020"	36	29360759	0.1
	"Pneumonia due to staphylococcus"	"J15.2"	"Arizona"	"04"	"2020 "	"2020"	28	7421401	0.4
	"Pneumonia due to staphylococcus"	"J15.2"	"California"	"06"	"2020 "	"2020"	86	39368078	0.2
	"Pneumonia due to staphylococcus"	"J15.2"	"Connecticut"	"09"	"2020 "	"2020"	13	3557006	Unreliable
	"Pneumonia due to staphylococcus"	"J15.2"	"Florida"	"12"	"2020 "	"2020"	43	21733312	0.2
	"Pneumonia due to staphylococcus"	"J15.2"	"Georgia"	"13"	"2020 "	"2020"	34	10710017	0.3
	"Pneumonia due to staphylococcus"	"J15.2"	"Illinois"	"17"	"2020 "	"2020"	20	12587530	0.2
	"Pneumonia due to staphylococcus"	"J15.2"	"Kentucky"	"21"	"2020 "	"2020"	18	4477251	Unreliable
	"Pneumonia due to staphylococcus"	"J15.2"	"Louisiana"	"22"	"2020 "	"2020"	11	4645318	Unreliable
	"Pneumonia due to staphylococcus"	"J15.2"	"Massachusetts"	"25"	"2020 "	"2020"	15	6893574	Unreliable
	"Pneumonia due to staphylococcus"	"J15.2"	"Michigan"	"26"	"2020 "	"2020"	29	9966555	0.3
	"Pneumonia due to staphylococcus"	"J15.2"	"Mississippi"	"28"	"2020 "	"2020"	14	2966786	Unreliable
