"Notes"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Mississippi"	"28"	"2020 "	"2020"	37	2966786	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Missouri"	"29"	"2020 "	"2020"	89	6151548	1.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Montana"	"30"	"2020 "	"2020"	12	1080577	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Nebraska"	"31"	"2020 "	"2020"	14	1937552	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Nevada"	"32"	"2020 "	"2020"	40	3138259	1.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New Hampshire"	"33"	"2020 "	"2020"	27	1366275	2.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New Jersey"	"34"	"2020 "	"2020"	106	8882371	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New Mexico"	"35"	"2020 "	"2020"	17	2106319	Unreliable
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"New York"	"36"	"2020 "	"2020"	238	19336776	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"North Carolina"	"37"	"2020 "	"2020"	131	10600823	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Ohio"	"39"	"2020 "	"2020"	169	11693217	1.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Oklahoma"	"40"	"2020 "	"2020"	62	3980783	1.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Oregon"	"41"	"2020 "	"2020"	45	4241507	1.1
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Pennsylvania"	"42"	"2020 "	"2020"	177	12783254	1.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Rhode Island"	"44"	"2020 "	"2020"	23	1057125	2.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"South Carolina"	"45"	"2020 "	"2020"	87	5218040	1.7
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Tennessee"	"47"	"2020 "	"2020"	87	6886834	1.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Texas"	"48"	"2020 "	"2020"	241	29360759	0.8
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Utah"	"49"	"2020 "	"2020"	21	3249879	0.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Virginia"	"51"	"2020 "	"2020"	99	8590563	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Washington"	"53"	"2020 "	"2020"	77	7693612	1.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"West Virginia"	"54"	"2020 "	"2020"	41	1784787	2.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Wisconsin"	"55"	"2020 "	"2020"	101	5832655	1.7
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Arizona"	"04"	"2020 "	"2020"	14	7421401	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"California"	"06"	"2020 "	"2020"	40	39368078	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Florida"	"12"	"2020 "	"2020"	25	21733312	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Georgia"	"13"	"2020 "	"2020"	20	10710017	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Illinois"	"17"	"2020 "	"2020"	17	12587530	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Kentucky"	"21"	"2020 "	"2020"	12	4477251	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Missouri"	"29"	"2020 "	"2020"	10	6151548	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"New Jersey"	"34"	"2020 "	"2020"	11	8882371	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"New York"	"36"	"2020 "	"2020"	29	19336776	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"North Carolina"	"37"	"2020 "	"2020"	12	10600823	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Ohio"	"39"	"2020 "	"2020"	15	11693217	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Pennsylvania"	"42"	"2020 "	"2020"	36	12783254	0.3
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Tennessee"	"47"	"2020 "	"2020"	11	6886834	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Texas"	"48"	"2020 "	"2020"	37	29360759	0.1
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Virginia"	"51"	"2020 "	"2020"	12	8590563	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Washington"	"53"	"2020 "	"2020"	11	7693612	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Alabama"	"01"	"2020 "	"2020"	43	4921532	0.9
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Arizona"	"04"	"2020 "	"2020"	71	7421401	1.0
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Arkansas"	"05"	"2020 "	"2020"	25	3030522	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"California"	"06"	"2020 "	"2020"	165	39368078	0.4
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Colorado"	"08"	"2020 "	"2020"	25	5807719	0.4
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Connecticut"	"09"	"2020 "	"2020"	17	3557006	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Delaware"	"10"	"2020 "	"2020"	10	986809	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Florida"	"12"	"2020 "	"2020"	148	21733312	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Georgia"	"13"	"2020 "	"2020"	44	10710017	0.4
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Hawaii"	"15"	"2020 "	"2020"	13	1407006	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Idaho"	"16"	"2020 "	"2020"	16	1826913	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Illinois"	"17"	"2020 "	"2020"	61	12587530	0.5
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Indiana"	"18"	"2020 "	"2020"	40	6754953	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Iowa"	"19"	"2020 "	"2020"	32	3163561	1.0
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Kansas"	"20"	"2020 "	"2020"	24	2913805	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Kentucky"	"21"	"2020 "	"2020"	32	4477251	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Louisiana"	"22"	"2020 "	"2020"	22	4645318	0.5
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Maine"	"23"	"2020 "	"2020"	10	1350141	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Maryland"	"24"	"2020 "	"2020"	62	6055802	1.0
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Massachusetts"	"25"	"2020 "	"2020"	59	6893574	0.9
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Michigan"	"26"	"2020 "	"2020"	68	9966555	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Minnesota"	"27"	"2020 "	"2020"	28	5657342	0.5
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Mississippi"	"28"	"2020 "	"2020"	19	2966786	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Missouri"	"29"	"2020 "	"2020"	36	6151548	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Nebraska"	"31"	"2020 "	"2020"	18	1937552	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Nevada"	"32"	"2020 "	"2020"	14	3138259	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New Jersey"	"34"	"2020 "	"2020"	61	8882371	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New Mexico"	"35"	"2020 "	"2020"	16	2106319	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"New York"	"36"	"2020 "	"2020"	162	19336776	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"North Carolina"	"37"	"2020 "	"2020"	77	10600823	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Ohio"	"39"	"2020 "	"2020"	91	11693217	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Oklahoma"	"40"	"2020 "	"2020"	37	3980783	0.9
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Oregon"	"41"	"2020 "	"2020"	27	4241507	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Pennsylvania"	"42"	"2020 "	"2020"	89	12783254	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"South Carolina"	"45"	"2020 "	"2020"	38	5218040	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Tennessee"	"47"	"2020 "	"2020"	55	6886834	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Texas"	"48"	"2020 "	"2020"	162	29360759	0.6
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Utah"	"49"	"2020 "	"2020"	15	3249879	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Virginia"	"51"	"2020 "	"2020"	62	8590563	0.7
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Washington"	"53"	"2020 "	"2020"	62	7693612	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"West Virginia"	"54"	"2020 "	"2020"	14	1784787	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Wisconsin"	"55"	"2020 "	"2020"	39	5832655	0.7
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"California"	"06"	"2020 "	"2020"	75	39368078	0.2
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Florida"	"12"	"2020 "	"2020"	12	21733312	Unreliable
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Georgia"	"13"	"2020 "	"2020"	10	10710017	Unreliable
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"New York"	"36"	"2020 "	"2020"	10	19336776	Unreliable
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"Texas"	"48"	"2020 "	"2020"	23	29360759	0.1
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"California"	"06"	"2020 "	"2020"	17	39368078	Unreliable
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"New York"	"36"	"2020 "	"2020"	14	19336776	Unreliable
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"Texas"	"48"	"2020 "	"2020"	22	29360759	0.1
	"Tuberculosis of bones and joints"	"A18.0"	"Texas"	"48"	"2020 "	"2020"	11	29360759	Unreliable
	"Miliary tuberculosis, unspecified"	"A19.9"	"California"	"06"	"2020 "	"2020"	11	39368078	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Arizona"	"04"	"2020 "	"2020"	10	7421401	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"California"	"06"	"2020 "	"2020"	23	39368078	0.1
	"Pulmonary mycobacterial infection"	"A31.0"	"Florida"	"12"	"2020 "	"2020"	44	21733312	0.2
	"Pulmonary mycobacterial infection"	"A31.0"	"Illinois"	"17"	"2020 "	"2020"	18	12587530	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Louisiana"	"22"	"2020 "	"2020"	10	4645318	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"New York"	"36"	"2020 "	"2020"	14	19336776	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Pennsylvania"	"42"	"2020 "	"2020"	16	12783254	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"South Carolina"	"45"	"2020 "	"2020"	14	5218040	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Tennessee"	"47"	"2020 "	"2020"	15	6886834	Unreliable
	"Pulmonary mycobacterial infection"	"A31.0"	"Texas"	"48"	"2020 "	"2020"	28	29360759	0.1
	"Septicaemia due to streptococcus, group D"	"A40.2"	"California"	"06"	"2020 "	"2020"	12	39368078	Unreliable
	"Septicaemia due to streptococcus, group D"	"A40.2"	"Ohio"	"39"	"2020 "	"2020"	10	11693217	Unreliable
	"Septicaemia due to streptococcus, group D"	"A40.2"	"Texas"	"48"	"2020 "	"2020"	11	29360759	Unreliable
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"Florida"	"12"	"2020 "	"2020"	10	21733312	Unreliable
	"Septicaemia due to Streptococcus pneumoniae"	"A40.3"	"Texas"	"48"	"2020 "	"2020"	13	29360759	Unreliable
	"Streptococcal septicaemia, unspecified"	"A40.9"	"Florida"	"12"	"2020 "	"2020"	10	21733312	Unreliable
	"Streptococcal septicaemia, unspecified"	"A40.9"	"Texas"	"48"	"2020 "	"2020"	21	29360759	0.1
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Alabama"	"01"	"2020 "	"2020"	13	4921532	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Arizona"	"04"	"2020 "	"2020"	15	7421401	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"California"	"06"	"2020 "	"2020"	53	39368078	0.1
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Connecticut"	"09"	"2020 "	"2020"	10	3557006	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Florida"	"12"	"2020 "	"2020"	42	21733312	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Georgia"	"13"	"2020 "	"2020"	24	10710017	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Illinois"	"17"	"2020 "	"2020"	20	12587530	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Louisiana"	"22"	"2020 "	"2020"	13	4645318	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Massachusetts"	"25"	"2020 "	"2020"	11	6893574	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Michigan"	"26"	"2020 "	"2020"	20	9966555	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Minnesota"	"27"	"2020 "	"2020"	13	5657342	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Missouri"	"29"	"2020 "	"2020"	13	6151548	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"New Jersey"	"34"	"2020 "	"2020"	10	8882371	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"New York"	"36"	"2020 "	"2020"	37	19336776	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"North Carolina"	"37"	"2020 "	"2020"	18	10600823	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Ohio"	"39"	"2020 "	"2020"	30	11693217	0.3
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Oklahoma"	"40"	"2020 "	"2020"	10	3980783	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Pennsylvania"	"42"	"2020 "	"2020"	17	12783254	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Tennessee"	"47"	"2020 "	"2020"	27	6886834	0.4
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Texas"	"48"	"2020 "	"2020"	58	29360759	0.2
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Washington"	"53"	"2020 "	"2020"	12	7693612	Unreliable
	"Septicaemia due to Staphylococcus aureus"	"A41.0"	"Wisconsin"	"55"	"2020 "	"2020"	20	5832655	0.3
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"California"	"06"	"2020 "	"2020"	19	39368078	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Florida"	"12"	"2020 "	"2020"	17	21733312	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Georgia"	"13"	"2020 "	"2020"	14	10710017	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Illinois"	"17"	"2020 "	"2020"	10	12587530	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Michigan"	"26"	"2020 "	"2020"	17	9966555	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"New York"	"36"	"2020 "	"2020"	14	19336776	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Ohio"	"39"	"2020 "	"2020"	12	11693217	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Tennessee"	"47"	"2020 "	"2020"	13	6886834	Unreliable
	"Septicaemia due to unspecified staphylococcus"	"A41.2"	"Texas"	"48"	"2020 "	"2020"	27	29360759	0.1
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Alabama"	"01"	"2020 "	"2020"	21	4921532	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Arizona"	"04"	"2020 "	"2020"	21	7421401	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Arkansas"	"05"	"2020 "	"2020"	12	3030522	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"California"	"06"	"2020 "	"2020"	66	39368078	0.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Colorado"	"08"	"2020 "	"2020"	10	5807719	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Florida"	"12"	"2020 "	"2020"	68	21733312	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Georgia"	"13"	"2020 "	"2020"	14	10710017	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Illinois"	"17"	"2020 "	"2020"	34	12587530	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Indiana"	"18"	"2020 "	"2020"	22	6754953	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Iowa"	"19"	"2020 "	"2020"	11	3163561	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Kentucky"	"21"	"2020 "	"2020"	10	4477251	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Louisiana"	"22"	"2020 "	"2020"	15	4645318	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Maryland"	"24"	"2020 "	"2020"	12	6055802	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Michigan"	"26"	"2020 "	"2020"	36	9966555	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Minnesota"	"27"	"2020 "	"2020"	11	5657342	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Missouri"	"29"	"2020 "	"2020"	17	6151548	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"New Jersey"	"34"	"2020 "	"2020"	20	8882371	0.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"New York"	"36"	"2020 "	"2020"	64	19336776	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"North Carolina"	"37"	"2020 "	"2020"	25	10600823	0.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Ohio"	"39"	"2020 "	"2020"	35	11693217	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Pennsylvania"	"42"	"2020 "	"2020"	31	12783254	0.2
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"South Carolina"	"45"	"2020 "	"2020"	14	5218040	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Tennessee"	"47"	"2020 "	"2020"	21	6886834	0.3
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Texas"	"48"	"2020 "	"2020"	104	29360759	0.4
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Virginia"	"51"	"2020 "	"2020"	15	8590563	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Washington"	"53"	"2020 "	"2020"	16	7693612	Unreliable
	"Septicaemia due to other Gram-negative organisms"	"A41.5"	"Wisconsin"	"55"	"2020 "	"2020"	20	5832655	0.3
	"Septicaemia, unspecified"	"A41.9"	"Alabama"	"01"	"2020 "	"2020"	989	4921532	20.1
	"Septicaemia, unspecified"	"A41.9"	"Alaska"	"02"	"2020 "	"2020"	61	731158	8.3
	"Septicaemia, unspecified"	"A41.9"	"Arizona"	"04"	"2020 "	"2020"	377	7421401	5.1
	"Septicaemia, unspecified"	"A41.9"	"Arkansas"	"05"	"2020 "	"2020"	465	3030522	15.3
	"Septicaemia, unspecified"	"A41.9"	"California"	"06"	"2020 "	"2020"	1546	39368078	3.9
	"Septicaemia, unspecified"	"A41.9"	"Colorado"	"08"	"2020 "	"2020"	412	5807719	7.1
	"Septicaemia, unspecified"	"A41.9"	"Connecticut"	"09"	"2020 "	"2020"	530	3557006	14.9
	"Septicaemia, unspecified"	"A41.9"	"Delaware"	"10"	"2020 "	"2020"	95	986809	9.6
	"Septicaemia, unspecified"	"A41.9"	"District of Columbia"	"11"	"2020 "	"2020"	73	712816	10.2
	"Septicaemia, unspecified"	"A41.9"	"Florida"	"12"	"2020 "	"2020"	2454	21733312	11.3
	"Septicaemia, unspecified"	"A41.9"	"Georgia"	"13"	"2020 "	"2020"	1773	10710017	16.6
	"Septicaemia, unspecified"	"A41.9"	"Hawaii"	"15"	"2020 "	"2020"	116	1407006	8.2
	"Septicaemia, unspecified"	"A41.9"	"Idaho"	"16"	"2020 "	"2020"	99	1826913	5.4
	"Septicaemia, unspecified"	"A41.9"	"Illinois"	"17"	"2020 "	"2020"	1609	12587530	12.8
	"Septicaemia, unspecified"	"A41.9"	"Indiana"	"18"	"2020 "	"2020"	1063	6754953	15.7
	"Septicaemia, unspecified"	"A41.9"	"Iowa"	"19"	"2020 "	"2020"	336	3163561	10.6
	"Septicaemia, unspecified"	"A41.9"	"Kansas"	"20"	"2020 "	"2020"	302	2913805	10.4
	"Septicaemia, unspecified"	"A41.9"	"Kentucky"	"21"	"2020 "	"2020"	913	4477251	20.4
	"Septicaemia, unspecified"	"A41.9"	"Louisiana"	"22"	"2020 "	"2020"	1063	4645318	22.9
	"Septicaemia, unspecified"	"A41.9"	"Maine"	"23"	"2020 "	"2020"	55	1350141	4.1
	"Septicaemia, unspecified"	"A41.9"	"Maryland"	"24"	"2020 "	"2020"	894	6055802	14.8
	"Septicaemia, unspecified"	"A41.9"	"Massachusetts"	"25"	"2020 "	"2020"	851	6893574	12.3
	"Septicaemia, unspecified"	"A41.9"	"Michigan"	"26"	"2020 "	"2020"	1190	9966555	11.9
	"Septicaemia, unspecified"	"A41.9"	"Minnesota"	"27"	"2020 "	"2020"	426	5657342	7.5
	"Septicaemia, unspecified"	"A41.9"	"Mississippi"	"28"	"2020 "	"2020"	363	2966786	12.2
	"Septicaemia, unspecified"	"A41.9"	"Missouri"	"29"	"2020 "	"2020"	903	6151548	14.7
	"Septicaemia, unspecified"	"A41.9"	"Montana"	"30"	"2020 "	"2020"	94	1080577	8.7
	"Septicaemia, unspecified"	"A41.9"	"Nebraska"	"31"	"2020 "	"2020"	145	1937552	7.5
	"Septicaemia, unspecified"	"A41.9"	"Nevada"	"32"	"2020 "	"2020"	201	3138259	6.4
	"Septicaemia, unspecified"	"A41.9"	"New Hampshire"	"33"	"2020 "	"2020"	137	1366275	10.0
	"Septicaemia, unspecified"	"A41.9"	"New Jersey"	"34"	"2020 "	"2020"	2017	8882371	22.7
	"Septicaemia, unspecified"	"A41.9"	"New Mexico"	"35"	"2020 "	"2020"	216	2106319	10.3
	"Septicaemia, unspecified"	"A41.9"	"New York"	"36"	"2020 "	"2020"	1746	19336776	9.0
	"Septicaemia, unspecified"	"A41.9"	"North Carolina"	"37"	"2020 "	"2020"	1539	10600823	14.5
	"Septicaemia, unspecified"	"A41.9"	"North Dakota"	"38"	"2020 "	"2020"	83	765309	10.8
	"Septicaemia, unspecified"	"A41.9"	"Ohio"	"39"	"2020 "	"2020"	1938	11693217	16.6
	"Septicaemia, unspecified"	"A41.9"	"Oklahoma"	"40"	"2020 "	"2020"	433	3980783	10.9
	"Septicaemia, unspecified"	"A41.9"	"Oregon"	"41"	"2020 "	"2020"	248	4241507	5.8
